SURFACE;PLAYER;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Grass;Novak Djokovic;35;3;0.094;0.024;0.69;0.774;0.629;0.76;0.38;0.309;0.6;400;38;1;9045
Clay;Novak Djokovic;69;14;0.048;0.019;0.673;0.711;0.591;0.615;0.444;0.357;0.598;815;83;1;9045
Hard;Novak Djokovic;188;26;0.069;0.029;0.649;0.746;0.624;0.658;0.443;0.337;0.637;1875;214;1;9045
Grass;Rafael Nadal;16;6;0.069;0.023;0.692;0.742;0.64;0.747;0.413;0.279;0.586;206;22;2;7480
Clay;Rafael Nadal;122;15;0.028;0.022;0.686;0.705;0.618;0.655;0.468;0.403;0.631;1341;137;2;7480
Hard;Rafael Nadal;121;38;0.042;0.026;0.681;0.723;0.615;0.659;0.422;0.317;0.6;1358;159;2;7480
Grass;Roger Federer;54;8;0.128;0.015;0.664;0.821;0.625;0.718;0.374;0.306;0.537;511;62;3;6420
Clay;Roger Federer;23;9;0.077;0.015;0.638;0.761;0.6;0.629;0.412;0.33;0.531;250;32;3;6420
Hard;Roger Federer;172;27;0.116;0.026;0.617;0.793;0.618;0.687;0.412;0.327;0.558;1633;199;3;6420
Grass;Alexander Zverev;22;11;0.106;0.042;0.643;0.761;0.569;0.596;0.468;0.274;0.568;220;33;4;6385
Clay;Alexander Zverev;76;35;0.066;0.041;0.62;0.692;0.58;0.578;0.438;0.328;0.581;901;111;4;6385
Hard;Alexander Zverev;113;70;0.097;0.05;0.615;0.742;0.59;0.629;0.391;0.282;0.554;1276;183;4;6385
Grass;Juan Martin del Potro;10;5;0.131;0.03;0.659;0.777;0.595;0.61;0.32;0.25;0.587;150;15;5;5300
Clay;Juan Martin del Potro;17;8;0.089;0.022;0.663;0.728;0.543;0.585;0.366;0.319;0.558;205;25;5;5300
Hard;Juan Martin del Potro;99;33;0.114;0.028;0.645;0.77;0.569;0.611;0.402;0.288;0.558;943;132;5;5300
Grass;Kevin Anderson;26;11;0.21;0.031;0.663;0.827;0.601;0.628;0.355;0.251;0.511;228;37;6;4710
Clay;Kevin Anderson;31;24;0.123;0.035;0.643;0.751;0.57;0.657;0.357;0.288;0.497;356;55;6;4710
Hard;Kevin Anderson;127;74;0.175;0.04;0.635;0.782;0.601;0.689;0.354;0.254;0.524;1172;201;6;4710
Grass;Marin Cilic;36;12;0.179;0.031;0.612;0.836;0.592;0.703;0.327;0.273;0.551;394;48;7;4250
Clay;Marin Cilic;49;25;0.107;0.032;0.568;0.775;0.566;0.64;0.442;0.332;0.556;545;74;7;4250
Hard;Marin Cilic;137;69;0.132;0.036;0.569;0.784;0.572;0.631;0.373;0.292;0.551;1578;206;7;4250
Grass;Dominic Thiem;14;13;0.105;0.044;0.561;0.774;0.601;0.683;0.329;0.258;0.492;170;27;8;4095
Clay;Dominic Thiem;113;33;0.058;0.036;0.601;0.729;0.592;0.643;0.411;0.333;0.573;1224;146;8;4095
Hard;Dominic Thiem;108;75;0.085;0.038;0.586;0.749;0.584;0.612;0.371;0.289;0.538;1339;183;8;4095
Grass;Kei Nishikori;21;8;0.064;0.03;0.641;0.734;0.617;0.652;0.413;0.278;0.581;225;29;9;3590
Clay;Kei Nishikori;59;19;0.033;0.026;0.612;0.711;0.565;0.658;0.453;0.331;0.597;653;78;9;3590
Hard;Kei Nishikori;158;59;0.052;0.034;0.597;0.73;0.592;0.634;0.408;0.299;0.593;1753;217;9;3590
Grass;John Isner;24;11;0.269;0.02;0.733;0.817;0.611;0.722;0.375;0.201;0.476;160;35;10;3155
Clay;John Isner;36;25;0.199;0.02;0.696;0.791;0.61;0.761;0.251;0.228;0.426;287;61;10;3155
Hard;John Isner;127;72;0.232;0.027;0.687;0.801;0.62;0.717;0.306;0.224;0.475;952;199;10;3155
Grass;Karen Khachanov;10;4;0.125;0.035;0.654;0.731;0.532;0.65;0.427;0.262;0.563;103;14;11;2835
Clay;Karen Khachanov;48;33;0.07;0.036;0.562;0.715;0.563;0.593;0.406;0.325;0.551;641;81;11;2835
Hard;Karen Khachanov;85;68;0.114;0.038;0.603;0.759;0.568;0.633;0.398;0.282;0.55;944;153;11;2835
Grass;Borna Coric;7;9;0.069;0.03;0.622;0.707;0.549;0.587;0.388;0.216;0.506;80;16;12;2480
Clay;Borna Coric;48;35;0.068;0.027;0.623;0.711;0.582;0.63;0.373;0.309;0.548;667;83;12;2480
Hard;Borna Coric;90;73;0.074;0.031;0.607;0.723;0.575;0.612;0.402;0.269;0.575;1040;163;12;2480
Grass;Fabio Fognini;8;5;0.051;0.056;0.603;0.718;0.59;0.566;0.399;0.285;0.623;153;13;13;2315
Clay;Fabio Fognini;90;54;0.035;0.042;0.615;0.675;0.558;0.569;0.432;0.34;0.564;1220;144;13;2315
Hard;Fabio Fognini;76;58;0.052;0.06;0.563;0.693;0.573;0.593;0.42;0.297;0.575;1035;134;13;2315
