PLAYER;SURFACE;W;L;Ace_Pct;Df_Pct;1st_Serve_Pct;1st_Serve_Won_Pct;2nd_Serve_Won_Pct;Break_Pt_Saved_Pct;Break_Pt_Won_Pct;1st_Serve_Return_Won_Pct;2nd_Serve_Return_Won_Pct;bp_oppy;Games_Played;Rank;Points
Abhinav Sanjeev Shanmugam;Hard;5;6;0.097;0.055;0.472;0.708;0.557;0.582;0.356;0.306;0.601;73;11;511;10
Adam El Mihdawy;Clay;4;12;0.059;0.114;0.472;0.729;0.534;0.528;0.407;0.237;0.575;54;16;-;0
Adam El Mihdawy;Hard;8;15;0.068;0.081;0.518;0.712;0.506;0.565;0.468;0.294;0.632;126;23;-;0
Adam Pavlasek;Clay;101;59;0.053;0.031;0.608;0.675;0.555;0.596;0.456;0.34;0.555;1191;160;200;251
Adam Pavlasek;Hard;27;32;0.099;0.034;0.625;0.706;0.54;0.606;0.38;0.308;0.52;347;59;200;251
Adelchi Virgili;Clay;15;19;0.055;0.07;0.553;0.696;0.532;0.546;0.49;0.36;0.6;255;34;-;0
Adrian Bodmer;Hard;3;7;0.072;0.04;0.537;0.717;0.537;0.613;0.377;0.286;0.526;61;10;650;1
Adrian Mannarino;Clay;19;28;0.037;0.027;0.626;0.648;0.52;0.542;0.397;0.323;0.531;358;47;42;1045
Adrian Mannarino;Grass;39;24;0.068;0.032;0.636;0.714;0.575;0.63;0.461;0.283;0.58;410;63;42;1045
Adrian Mannarino;Hard;138;97;0.064;0.033;0.607;0.71;0.573;0.611;0.426;0.304;0.58;1710;235;42;1045
Adrian Menendez Maceiras;Clay;37;31;0.055;0.028;0.608;0.697;0.538;0.596;0.434;0.313;0.577;440;68;129;442
Adrian Menendez Maceiras;Grass;4;10;0.064;0.03;0.657;0.7;0.566;0.638;0.33;0.259;0.537;100;14;129;442
Adrian Menendez Maceiras;Hard;129;84;0.071;0.025;0.616;0.72;0.566;0.626;0.413;0.304;0.568;1478;213;129;442
Adrian Sikora;Clay;7;15;0.026;0.036;0.625;0.633;0.503;0.57;0.456;0.303;0.53;114;22;-;0
Adrian Sikora;Hard;5;10;0.032;0.036;0.592;0.63;0.533;0.526;0.429;0.279;0.548;84;15;-;0
Adrian Ungur;Clay;79;63;0.027;0.042;0.609;0.659;0.587;0.592;0.43;0.341;0.591;1115;142;-;0
Adrian Ungur;Hard;10;20;0.047;0.041;0.605;0.672;0.595;0.614;0.358;0.253;0.528;176;30;-;0
