Player Name;Weight
Aaron Addison;3,5
Abhinav Sanjeev Shanmugam;4
Adam El Mihdawy;3,5
Adam Majchrowicz;3,5
Adam Pavlasek;3,5
Adelchi Virgili;3,5
Adil Kalyanpur;4,5
Adrian Andrzejczuk;3,5
Adrian Bodmer;3,5
Adrian Menendez Maceiras;2
Adrian Sikora;2,5
Adrian Ungur;4,5
Adrien Bossel;3,5
Adrien Puget;2
Agustin Velotti;3,5
Aitor Aramburu;3,333333333
Akira Santillan;2
Alastair Gray;4,5
Albano Olivetti;3,8
Albert Alcaraz Ivorra;3,5
Alberto Brizzi;2
Alberto Lim;4
Alberto Romero De Avila Senise;3,5
Aldin Setkic;3,5
Alejandro Davidovich Fokina;3,5
Alejandro Gomez Gb42;3,5
Alejandro Gonzalez;5,5
Alejandro Mendoza;3,5
Alejandro Tabilo;3,5
Aleksandar Kovacevic;5
Aleksandar Vukic;3,5
Aleksandr Nedovyesov;5
Aleksandre Metreveli;3,4
Alen Avidzba;4
Alessandro Bega;3,5
Alessandro Coppini;5,5
Alessandro Giannessi;2
Alessandro Petrone;3,5
Alex Bolt;2,5
Alex De Minaur;3
Alex Kobelt;5
Alex Kuznetsov;2,5
Alex Lawson;3
Alex Molcan;3,5
Alex Rybakov;3,5
Alexandar Lazarov;4
Alexandar Lazov;3,5
Alexander Babanine;3,5
Alexander Brown;4
Alexander Bublik;2
Alexander Bury;2,5
Alexander Crnokrak;4
Alexander Erler;3,5
Alexander Lobkov;2,666666667
Alexander Merino;3,5
Alexander Ritschard;3,5
Alexander Sarkissian;3,6
Alexander Vasilenko;3,5
Alexander Ward;2,5
Alexander Weis;4
Alexander Zhurbin;3,8
Alexandr Igoshin;3,5
Alexandre Muller;3,5
Alexandre Penaud;2,5
Alexandre Sidorenko;2,5
Alexandre Tsuchiya;3
Alexei Popyrin;4
Alexey Vatutin;2,5
Alexey Zakharov;5
Alexios Halebian;3,5
Alexis Canter;3,5
Alexis Galarneau;4
Alexis Gautier;3,5
Alexis Musialek;3,5
Aljaz Jakob Kaplja;2
Aljaz Radinski;3
Altug Celikbilek;3,5
Alvaro Lopez San Martin;3,5
Amal Sultanbekov;3,5
Amine Ahouda;3,5
Amir Weintraub;2
Andre Gaspar Murta;3,5
Andre Goransson;3,25
Andre Miele;3,5
Andrea Arnaboldi;5
Andrea Basso;3,5
Andrea Collarini;3
Andrea Del Federico;6
Andrea Guerrieri;4
Andrea Pellegrino;3,2
Andrea Vavassori;3,5
Andreas Beck;1
Andreas Haider Maurer;4
Andreas Mies;2
Andrei Stefan Apostol;3
Andrei Vasilevski;2
Andrej Glvac;4,5
Andrej Martin;3
Andres Artunedo Martinavarro;3,5
Andres Molteni;1,5
Andrew Carter;2,5
Andrew Harris;3,333333333
Andrew Whittington;3
Andrey Golubev;6
Andrey Rublev;1
Andrey Yakovlev;3
Andriej Kapas;2,5
Anil Yuksel;3
Antal Van Der Duim;3
Ante Pavic;3,5
Antoine Bellier;3,5
Antoine Cornut Chauvinc;5
Antoine Escoffier;3,5
Antoine Hoang;3
Antoine Leduc;2,5
Anton Chekhov;4,5
Anton Zaitsev;3,5
Antonio Massara;3,5
Antonio Ruiz Rosales;1
Antonio Sancic;2
Anvit Bendre;3,5
Aoran Wang;3,5
Aoxiong Wang;2,5
Aqeel Khan;3,666666667
Arata Onozawa;3
Arjun Kadhe;3,5
Aron Hiltzik;3,5
Arsenije Zlatanovic;3,6
Artem Dubrivnyy;3,5
Artem Smirnov;3,5
Artem Strokan;4
Arthur De Greef;2
Arthur Rinderknech;4
Aryan Goveas;4
Aslan Karatsev;4
Attila Balazs;3,25
Augusto Virgili;2,333333333
Austin Krajicek;4,5
Axel Geller;4,5
Axel Michon;3,5
Ayoub Chakrouni;2,5
Aziz Dadabaev;5
Aziz Dougaz;3,5
Baptiste Crepatte;3,5
Bar Tzuf Botzer;2,75
Baris Erguden;2
Barkin Yalcinkale;2
Bastian Malla;3,5
Bastian Trinker;3,2
Batyr Sapaev;2
Beibit Zhukayev;4,666666667
Ben Mclachlan;2
Ben Patael;3,5
Benjamin Balleret;2
Benjamin Bonzi;3,5
Benjamin Hassan;3,5
Benjamin Lock;3,5
Benjamin Mitchell;3
Benjamin Sigouin;4
Benoit Paire;2
Bernabe Zapata Miralles;3
Bernardo Saraiva;3,5
Bjorn Fratangelo;1
Blake Ellis;3,5
Blake Mott;3,2
Blazej Koniusz;1,5
Bogdan Bobrov;3,5
Bogdan Borza;3,5
Boris Arias;4,5
Boris Kozlov;4,5
Boris Pashanski;1
Borna Coric;1
Borna Gojo;4
Botic Van De Zandschulp;3,5
Bowen Ouyang;2
Boy Westerhof;2
Bradley Klahn;4
Bradley Mousley;3,5
Brandon Holt;4,5
Brandon Nakashima;5,5
Brandon Walkin;3,2
Brayden Schnur;3
