 PLAYER ; SURFACE ; Rank ; Points ; Games_Played ; W ; L ;   Ace_Pct   ;   Df_Pct   ;   1st_Serve_Pct   ;   1st_Serve_Won_Pct   ;   2nd_Serve_Won_Pct   ;   Break_Pt_Saved_Pct   ;   Break_Pt_Won_Pct   ;   1st_Serve_Return_Won_Pct   ;   2nd_Serve_Return_Won_Pct   
 Novak Djokovic ; Grass ; 1,00 ; 9.045,00 ; 38,00 ; 35,00 ; 3,00 ; 0,09 ; 0,02 ; 0,69 ; 0,77 ; 0,63 ; 0,76 ; 0,38 ; 0,31 ; 0,60 
 Novak Djokovic ; Clay ; 1,00 ; 9.045,00 ; 83,00 ; 69,00 ; 14,00 ; 0,05 ; 0,02 ; 0,67 ; 0,71 ; 0,59 ; 0,62 ; 0,44 ; 0,36 ; 0,60 
 Novak Djokovic ; Hard ; 1,00 ; 9.045,00 ; 214,00 ; 188,00 ; 26,00 ; 0,07 ; 0,03 ; 0,65 ; 0,75 ; 0,62 ; 0,66 ; 0,44 ; 0,34 ; 0,64 
 Rafael Nadal ; Grass ; 2,00 ; 7.480,00 ; 22,00 ; 16,00 ; 6,00 ; 0,07 ; 0,02 ; 0,69 ; 0,74 ; 0,64 ; 0,75 ; 0,41 ; 0,28 ; 0,59 
 Rafael Nadal ; Clay ; 2,00 ; 7.480,00 ; 137,00 ; 122,00 ; 15,00 ; 0,03 ; 0,02 ; 0,69 ; 0,71 ; 0,62 ; 0,66 ; 0,47 ; 0,40 ; 0,63 
 Rafael Nadal ; Hard ; 2,00 ; 7.480,00 ; 159,00 ; 121,00 ; 38,00 ; 0,04 ; 0,03 ; 0,68 ; 0,72 ; 0,62 ; 0,66 ; 0,42 ; 0,32 ; 0,60 
 Roger Federer ; Grass ; 3,00 ; 6.420,00 ; 62,00 ; 54,00 ; 8,00 ; 0,13 ; 0,02 ; 0,66 ; 0,82 ; 0,63 ; 0,72 ; 0,37 ; 0,31 ; 0,54 
 Roger Federer ; Clay ; 3,00 ; 6.420,00 ; 32,00 ; 23,00 ; 9,00 ; 0,08 ; 0,02 ; 0,64 ; 0,76 ; 0,60 ; 0,63 ; 0,41 ; 0,33 ; 0,53 
 Roger Federer ; Hard ; 3,00 ; 6.420,00 ; 199,00 ; 172,00 ; 27,00 ; 0,12 ; 0,03 ; 0,62 ; 0,79 ; 0,62 ; 0,69 ; 0,41 ; 0,33 ; 0,56 
 Alexander Zverev ; Grass ; 4,00 ; 6.385,00 ; 33,00 ; 22,00 ; 11,00 ; 0,11 ; 0,04 ; 0,64 ; 0,76 ; 0,57 ; 0,60 ; 0,47 ; 0,27 ; 0,57 
 Alexander Zverev ; Clay ; 4,00 ; 6.385,00 ; 111,00 ; 76,00 ; 35,00 ; 0,07 ; 0,04 ; 0,62 ; 0,69 ; 0,58 ; 0,58 ; 0,44 ; 0,33 ; 0,58 
 Alexander Zverev ; Hard ; 4,00 ; 6.385,00 ; 183,00 ; 113,00 ; 70,00 ; 0,10 ; 0,05 ; 0,62 ; 0,74 ; 0,59 ; 0,63 ; 0,39 ; 0,28 ; 0,55 
 Juan Martin del Potro ; Grass ; 5,00 ; 5.300,00 ; 15,00 ; 10,00 ; 5,00 ; 0,13 ; 0,03 ; 0,66 ; 0,78 ; 0,60 ; 0,61 ; 0,32 ; 0,25 ; 0,59 
 Juan Martin del Potro ; Clay ; 5,00 ; 5.300,00 ; 25,00 ; 17,00 ; 8,00 ; 0,09 ; 0,02 ; 0,66 ; 0,73 ; 0,54 ; 0,59 ; 0,37 ; 0,32 ; 0,56 
 Juan Martin del Potro ; Hard ; 5,00 ; 5.300,00 ; 132,00 ; 99,00 ; 33,00 ; 0,11 ; 0,03 ; 0,65 ; 0,77 ; 0,57 ; 0,61 ; 0,40 ; 0,29 ; 0,56 
 Kevin Anderson ; Grass ; 6,00 ; 4.710,00 ; 37,00 ; 26,00 ; 11,00 ; 0,21 ; 0,03 ; 0,66 ; 0,83 ; 0,60 ; 0,63 ; 0,36 ; 0,25 ; 0,51 
 Kevin Anderson ; Clay ; 6,00 ; 4.710,00 ; 55,00 ; 31,00 ; 24,00 ; 0,12 ; 0,04 ; 0,64 ; 0,75 ; 0,57 ; 0,66 ; 0,36 ; 0,29 ; 0,50 
 Kevin Anderson ; Hard ; 6,00 ; 4.710,00 ; 201,00 ; 127,00 ; 74,00 ; 0,18 ; 0,04 ; 0,64 ; 0,78 ; 0,60 ; 0,69 ; 0,35 ; 0,25 ; 0,52 
 Marin Cilic ; Grass ; 7,00 ; 4.250,00 ; 48,00 ; 36,00 ; 12,00 ; 0,18 ; 0,03 ; 0,61 ; 0,84 ; 0,59 ; 0,70 ; 0,33 ; 0,27 ; 0,55 
 Marin Cilic ; Clay ; 7,00 ; 4.250,00 ; 74,00 ; 49,00 ; 25,00 ; 0,11 ; 0,03 ; 0,57 ; 0,78 ; 0,57 ; 0,64 ; 0,44 ; 0,33 ; 0,56 
 Marin Cilic ; Hard ; 7,00 ; 4.250,00 ; 206,00 ; 137,00 ; 69,00 ; 0,13 ; 0,04 ; 0,57 ; 0,78 ; 0,57 ; 0,63 ; 0,37 ; 0,29 ; 0,55 
 Dominic Thiem ; Grass ; 8,00 ; 4.095,00 ; 27,00 ; 14,00 ; 13,00 ; 0,11 ; 0,04 ; 0,56 ; 0,77 ; 0,60 ; 0,68 ; 0,33 ; 0,26 ; 0,49 
 Dominic Thiem ; Clay ; 8,00 ; 4.095,00 ; 146,00 ; 113,00 ; 33,00 ; 0,06 ; 0,04 ; 0,60 ; 0,73 ; 0,59 ; 0,64 ; 0,41 ; 0,33 ; 0,57 
 Dominic Thiem ; Hard ; 8,00 ; 4.095,00 ; 183,00 ; 108,00 ; 75,00 ; 0,09 ; 0,04 ; 0,59 ; 0,75 ; 0,58 ; 0,61 ; 0,37 ; 0,29 ; 0,54 
 Kei Nishikori ; Grass ; 9,00 ; 3.590,00 ; 29,00 ; 21,00 ; 8,00 ; 0,06 ; 0,03 ; 0,64 ; 0,73 ; 0,62 ; 0,65 ; 0,41 ; 0,28 ; 0,58 
 Kei Nishikori ; Clay ; 9,00 ; 3.590,00 ; 78,00 ; 59,00 ; 19,00 ; 0,03 ; 0,03 ; 0,61 ; 0,71 ; 0,57 ; 0,66 ; 0,45 ; 0,33 ; 0,60 
 Kei Nishikori ; Hard ; 9,00 ; 3.590,00 ; 217,00 ; 158,00 ; 59,00 ; 0,05 ; 0,03 ; 0,60 ; 0,73 ; 0,59 ; 0,63 ; 0,41 ; 0,30 ; 0,59 
 John Isner ; Grass ; 10,00 ; 3.155,00 ; 35,00 ; 24,00 ; 11,00 ; 0,27 ; 0,02 ; 0,73 ; 0,82 ; 0,61 ; 0,72 ; 0,38 ; 0,20 ; 0,48 
 John Isner ; Clay ; 10,00 ; 3.155,00 ; 61,00 ; 36,00 ; 25,00 ; 0,20 ; 0,02 ; 0,70 ; 0,79 ; 0,61 ; 0,76 ; 0,25 ; 0,23 ; 0,43 
 John Isner ; Hard ; 10,00 ; 3.155,00 ; 199,00 ; 127,00 ; 72,00 ; 0,23 ; 0,03 ; 0,69 ; 0,80 ; 0,62 ; 0,72 ; 0,31 ; 0,22 ; 0,48 
 Karen Khachanov ; Grass ; 11,00 ; 2.835,00 ; 14,00 ; 10,00 ; 4,00 ; 0,13 ; 0,04 ; 0,65 ; 0,73 ; 0,53 ; 0,65 ; 0,43 ; 0,26 ; 0,56 
 Karen Khachanov ; Clay ; 11,00 ; 2.835,00 ; 81,00 ; 48,00 ; 33,00 ; 0,07 ; 0,04 ; 0,56 ; 0,72 ; 0,56 ; 0,59 ; 0,41 ; 0,33 ; 0,55 
 Karen Khachanov ; Hard ; 11,00 ; 2.835,00 ; 153,00 ; 85,00 ; 68,00 ; 0,11 ; 0,04 ; 0,60 ; 0,76 ; 0,57 ; 0,63 ; 0,40 ; 0,28 ; 0,55 
 Borna Coric ; Grass ; 12,00 ; 2.480,00 ; 16,00 ; 7,00 ; 9,00 ; 0,07 ; 0,03 ; 0,62 ; 0,71 ; 0,55 ; 0,59 ; 0,39 ; 0,22 ; 0,51 
 Borna Coric ; Clay ; 12,00 ; 2.480,00 ; 83,00 ; 48,00 ; 35,00 ; 0,07 ; 0,03 ; 0,62 ; 0,71 ; 0,58 ; 0,63 ; 0,37 ; 0,31 ; 0,55 
 Borna Coric ; Hard ; 12,00 ; 2.480,00 ; 163,00 ; 90,00 ; 73,00 ; 0,07 ; 0,03 ; 0,61 ; 0,72 ; 0,58 ; 0,61 ; 0,40 ; 0,27 ; 0,58 
 Fabio Fognini ; Grass ; 13,00 ; 2.315,00 ; 13,00 ; 8,00 ; 5,00 ; 0,05 ; 0,06 ; 0,60 ; 0,72 ; 0,59 ; 0,57 ; 0,40 ; 0,29 ; 0,62 
 Fabio Fognini ; Clay ; 13,00 ; 2.315,00 ; 144,00 ; 90,00 ; 54,00 ; 0,04 ; 0,04 ; 0,62 ; 0,68 ; 0,56 ; 0,57 ; 0,43 ; 0,34 ; 0,56 
 Fabio Fognini ; Hard ; 13,00 ; 2.315,00 ; 134,00 ; 76,00 ; 58,00 ; 0,05 ; 0,06 ; 0,56 ; 0,69 ; 0,57 ; 0,59 ; 0,42 ; 0,30 ; 0,58 
 Kyle Edmund ; Grass ; 14,00 ; 2.150,00 ; 23,00 ; 8,00 ; 15,00 ; 0,09 ; 0,04 ; 0,60 ; 0,73 ; 0,58 ; 0,62 ; 0,36 ; 0,27 ; 0,55 
 Kyle Edmund ; Clay ; 14,00 ; 2.150,00 ; 76,00 ; 51,00 ; 25,00 ; 0,05 ; 0,03 ; 0,59 ; 0,72 ; 0,59 ; 0,61 ; 0,48 ; 0,33 ; 0,57 
 Kyle Edmund ; Hard ; 14,00 ; 2.150,00 ; 188,00 ; 116,00 ; 72,00 ; 0,08 ; 0,03 ; 0,59 ; 0,73 ; 0,58 ; 0,63 ; 0,39 ; 0,29 ; 0,59 
 Stefanos Tsitsipas ; Grass ; 15,00 ; 2.095,00 ; 13,00 ; 7,00 ; 6,00 ; 0,11 ; 0,04 ; 0,62 ; 0,76 ; 0,60 ; 0,63 ; 0,37 ; 0,25 ; 0,54 
 Stefanos Tsitsipas ; Clay ; 15,00 ; 2.095,00 ; 60,00 ; 39,00 ; 21,00 ; 0,06 ; 0,03 ; 0,57 ; 0,73 ; 0,59 ; 0,63 ; 0,44 ; 0,31 ; 0,56 
 Stefanos Tsitsipas ; Hard ; 15,00 ; 2.095,00 ; 111,00 ; 67,00 ; 44,00 ; 0,10 ; 0,03 ; 0,59 ; 0,77 ; 0,57 ; 0,63 ; 0,38 ; 0,27 ; 0,52 
 Daniil Medvedev ; Grass ; 16,00 ; 1.977,00 ; 31,00 ; 21,00 ; 10,00 ; 0,11 ; 0,04 ; 0,63 ; 0,77 ; 0,58 ; 0,67 ; 0,44 ; 0,28 ; 0,60 
 Daniil Medvedev ; Clay ; 16,00 ; 1.977,00 ; 34,00 ; 16,00 ; 18,00 ; 0,05 ; 0,04 ; 0,55 ; 0,68 ; 0,53 ; 0,62 ; 0,38 ; 0,32 ; 0,55 
